inTemp,inHum,outTemp,outHum
14.90,70.00,25.60,76.40
14.90,70.00,25.60,76.50
14.90,70.10,25.60,76.50
14.90,70.20,25.60,76.50
14.90,70.30,25.50,76.50
14.90,70.20,25.60,76.70
14.90,70.20,25.60,76.70
14.90,70.00,25.50,76.70
14.90,69.90,25.60,76.70
14.90,70.10,25.60,76.70
14.90,70.20,25.60,76.80
14.90,70.30,25.60,76.80
14.90,70.40,25.60,76.90
14.90,70.50,25.60,76.90
14.90,70.40,25.50,76.80
14.80,70.50,25.50,76.90
14.90,70.80,25.50,76.90
14.80,70.70,25.50,76.90
14.90,70.80,25.50,76.90
14.90,71.00,25.50,76.90
14.90,71.10,25.50,76.90
14.90,71.10,25.50,76.90
14.80,71.10,25.50,76.90
14.90,71.10,25.50,77.00
14.90,71.20,25.50,77.00
14.90,71.20,25.50,77.10
14.90,71.00,25.50,77.10
14.90,71.10,25.50,77.10
14.80,71.30,25.50,77.10
14.80,71.50,25.50,77.30
14.90,71.60,25.50,77.50
14.80,71.50,25.40,77.40
14.90,71.70,25.40,77.40
14.90,71.80,25.50,77.60
14.90,71.80,25.40,77.50
14.80,71.80,25.40,77.50
14.90,71.80,25.40,77.50
14.90,71.80,25.50,77.60
14.80,71.80,25.40,77.50
14.80,72.10,25.40,77.50
14.90,72.20,25.40,77.50
14.90,72.10,25.40,77.50
14.80,71.80,25.40,77.50
14.80,71.80,25.40,77.50
14.80,71.90,25.40,77.50
14.80,72.00,25.40,77.40
14.80,71.70,25.40,77.50
14.90,71.70,25.40,77.60
14.80,71.70,25.40,77.60
14.80,71.80,25.40,77.60
