Temperature_A,Humidity_A,Temperature_B,Humidity_B,Temperature_C,Humidity_C,Weight_A1,Weight_A2,Weight_A3,Weight_B1,Weight_B2,Weight_B3,Weight_C1,Weight_C2,Weight_C3,Priority_A,Priority_B,Priority_C
18.7,62.1,26.8,72.2,34.8,73.2,57.0,22.5,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
18.6,62.0,26.8,72.2,34.7,73.1,57.0,22.5,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
18.7,62.1,26.8,72.0,34.8,73.0,57.0,22.5,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
18.6,61.9,26.9,71.9,34.8,72.9,57.0,22.5,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
18.6,62.0,26.8,71.8,34.7,72.9,57.0,22.5,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
18.6,62.0,26.8,71.6,34.7,72.8,57.0,22.5,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
18.6,62.2,26.8,71.6,34.7,72.9,57.0,22.5,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
18.6,62.3,26.8,71.5,34.7,72.9,57.0,22.5,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
18.6,62.2,26.8,71.5,34.7,72.8,57.0,22.5,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
18.6,62.2,26.8,71.4,34.7,72.8,57.0,22.5,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
18.5,62.2,26.8,71.4,34.6,72.8,57.0,22.5,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
